,health
50,"Access to quality medical care is limited in Curaçao, and facilities do not offer the health and service standards typically expected in the United States. For emergency services in Curaçao, dial: Police: 911 Ambulance/EMS: 912 Fire Department: 911 Coastal Guard: 913 Ambulance services are widely available. Curaçao’s medical system emphasizes the use of “house doctors” or “huisarts,” outpatient primary care physicians who may not have completed postgraduate training such as a residency program. Some surgical specialties, e.g., neurosurgery and cardiac surgery, are not represented on the island. St. Elisabeth Hospital (SEHOS) is the largest hospital in Curaçao with an extensive emergency room and the only intensive care unit on the island. Curaçao also has two private clinics, The Curacao Medical Center (CMC) A list of medical facilities in Curaçao is available on our Consulate website. We do not endorse or recommend any specific medical provider or clinic. We do not pay medical bills. Be aware that U.S. Medicare does not apply overseas. We do not pay medical bills. Be aware that U.S. Medicare/Medicaid does not apply overseas. Most hospitals and doctors overseas do not accept U.S. health insurance. Medical Insurance: Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage . Visit the U.S. Centers for Disease Control and Prevention for more information on type of insurance you should consider before you travel overseas. We strongly recommend supplemental insurance to cover medical evacuation. Critically ill patients requiring service not offered in Curaçao are normally transferred to Colombia at the patient’s expense. If medical evacuation is authorized by the patient’s insurance carrier or funded privately (approximately $15,000 – $25,000), patients can be transferred to the United States. Medicines: If traveling with prescription medication, check with the Government of Curaçao to ensure the medication is legal in Curaçao.  Always carry your prescription medication in original packaging with your doctor’s prescription. The variety of drugs available locally is smaller than in the U.S. To find out which local pharmacy is open after hours, you can call (+599)(9)737-7404, visit pharmacies on duty , or check with your hotel. Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. The following diseases are prevalent: Zika Virus Dengue Chikungunya Use the U.S. Centers for Disease Control and Prevention recommended mosquito repellents and sleep under insecticide-impregnated mosquito nets. Chemoprophylaxis is recommended for all travelers even for short stays. Visit the U.S. Centers for Disease Control and Prevention website for more information about Resources for Travelers regarding specific issues in Curaçao. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC) Air Quality: Visit AirNow Department of State for information on air quality at U.S. Embassies and Consulates."
51,"We do not pay medical bills, and U.S. Medicare does not pay overseas claims. Medical Insurance: Make sure your health insurance plan provides coverage overseas . Most care providers overseas only accept cash payments . See our webpage for more information on insurance providers for overseas coverage . We strongly recommend obtaining supplemental insurance for medical evacuation. If traveling with prescription medication , check with the Republic of Cyprus to ensure the medication is legal in Cyprus. Always carry your prescription medication in original packaging with your doctor’s prescription. You should similarly confirm with authorities in the area administered by Turkish Cypriots to ensure any medication you are carrying will not present problems. The police there can be contacted at 00903922283411 and the “Drug and Pharmacy Office” at 00903922284156 or 00903922284001. Be aware that the dry air on the island may aggravate respiratory ailments and allergies . Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC)"
52,"For emergency services in Czech Republic, dial 112. Prague has adequate Western-style medical clinics with English-speaking doctors and dentists, but its system is organized differently than in the United States. Though central emergency rooms exist in most hospitals, patients are often sent to a specialty clinic to treat specific medical conditions. Family practices like those in the United States are mostly in larger cities. All major hospitals accept credit cards or cash as a method of payment. Private specialists usually expect cash , though some private facilities accept credit cards. In the event of an injury, appropriate medical treatment is widely available throughout the country. Outside of a major metropolitan center, it may take more time for first responders and medical professionals to stabilize a patient and provide life-saving assistance. Ambulance services are on par with those in the United States. Response time is usually less than 15 minutes. Ambulance companies generally expect payment at the time of service. Ambulance services are widely available. We do not pay medical bills. Be aware that U.S. Medicare/Medicaid does not apply overseas. Most hospitals and doctors overseas do not accept U.S. health insurance. Medical Insurance: Generally, patients who have overseas insurance coverage should expect to pay the bill at the time services are rendered and then seek reimbursement from their insurance company. Contact your health insurance company directly to find out if your policy includes overseas coverage. Many care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage. Visit the U.S. Centers for Disease Control and Prevention for more information on type of insurance you should consider before you travel overseas. We strongly recommend supplemental insurance to cover medical evacuation. Always carry your prescription medication in original packaging, along with your doctor’s prescription. Check with the Czech Ministry of Health to ensure the medication is legal in the Czech Republic. Vaccinations: Be up to date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC) Air Quality: Visit AirNow Department of State for information on air quality at U.S. Embassies and Consulates. The U.S. Embassy maintains a list of doctors and hospitals on its website . We do not endorse or recommend any specific medical provider or clinic. Health facilities in general: Adequate health facilities are available throughout the country but health care in rural areas may be below U.S. standards. Hospitals and doctors often require payment “up front” prior to service or admission, either in cash or by credit card. Private hospitals usually require advance payment or proof of adequate insurance before admitting a patient. Patients bear all costs for transfer to or between hospitals. Medical Tourism and Elective Surgery Medical tourism is a rapidly growing industry. People seeking health care overseas should understand that medical systems operate differently from those in the United States and are not subject to the same rules and regulations. Anyone interested in traveling for medical purposes should consult with their local physician before traveling and visit the U.S. Centers for Disease Control and Prevention website for more information on Medical Tourism. Visit the U.S. Centers for Disease Control and Prevention website for information on Medical Tourism, the risks of medical tourism, and what you can do to prepare before traveling to the Czech Republic. We strongly recommend supplemental insurance to cover medical evacuation in the event of unforeseen medical complications. Your legal options in case of malpractice are very limited in the Czech Republic. Although the Czech Republic has many elective/cosmetic surgery facilities that are on par with those found in the United States, the quality of care varies widely. If you plan to undergo surgery in the Czech Republic, make sure that emergency medical facilities are available, and professionals are accredited and qualified. Pharmaceuticals U.S. Customs and Border Protection and the Food and Drug Administration are responsible for rules governing the transport of medication back to the United States. Medication purchased abroad must meet their requirements to be legally brought back into the United States. Medication should be for personal use and must be approved for usage in the United States. Please visit the U.S. Customs and Border Protection and the Food and Drug Administration websites for more information. Additionally, see the Czech Embassy’s restricted medication section on its website before traveling with medication. Assisted Reproductive Technology and Surrogacy If you are considering traveling to the Czech Republic to have a child through the use of assisted reproductive technology (ART) or surrogacy, please see our ART and Surrogacy Abroad page . The Czech Republic neither legalizes, regulates, nor prohibits couples to apply and perform surrogacy treatments. According to current legislation, assisted reproduction therapy permits heterosexual couples to apply but at present restricts single women or homosexual couples to apply for assisted reproduction. If you decide to pursue parenthood in the Czech Republic via assisted reproductive technology (ART) with a gestational mother, be prepared for long and unexpected delays in documenting your child’s citizenship. Be aware that individuals who attempt to circumvent local law risk criminal prosecution. Adventure Travel Visit the U.S. Centers for Disease Control and Prevention website for more information about Adventure Travel . General Health Language The following diseases are prevalent: Tick-borne encephalitis and Lyme disease. If you plan to camp or hike in long grass or woodlands from March to October, you run the risk of both tick-borne encephalitis and Lyme disease. While there is a vaccine for encephalitis, no vaccine exists for Lyme disease. Use insect repellent and proper clothing as extra protection. Visit the U.S. Centers for Disease Control and Prevention website for more information about Resources for Travelers regarding specific issues in the Czech Republic. U.S. living wills stipulating no exceptional interventions to prolong life are not honored in the Czech Republic due to laws against euthanasia. Air Quality Air pollution is a significant problem in several major cities in the Czech Republic Consider the impact seasonal smog and heavy particulate pollution may have on you and consult your doctor before traveling if necessary. The air quality varies considerably and fluctuates with the seasons. It is typically at its worst in the wintertime. People at the greatest risk from particle pollution exposure include: Infants, children, and teens People over 65 years of age People with lung disease such as asthma and chronic obstructive pulmonary disease (COPD), which includes chronic bronchitis and emphysema. People with heart disease or diabetes People who work or are active outdoors"
53,"Medical facilities, medicine severely limited. For emergency services in DRC, dial 112 for the police and call a local private hospital for medical assistance. A list of medical providers is available on the U.S. Embassy website. Ambulance services are: not present throughout the country except by private medical providers in major cities. not equipped with state-of-the-art medical equipment. not staffed with trained paramedics and often have little or no medical equipment. Injured or seriously ill travelers may prefer to take a taxi or private vehicle to the nearest major hospital rather than wait for an ambulance. We do not pay medical bills. Be aware that U.S. Medicare/Medicaid does not apply overseas. Most hospitals and doctors overseas do not accept U.S. health insurance. All care providers expect payment in U.S. dollars before treatment. Medical Insurance: Make sure your health insurance covers you overseas. Most care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage. Visit the U.S. Centers for Disease Control and Prevention for more information on type of insurance you should consider before you travel overseas. We strongly recommend supplemental medical insurance with medical evacuation coverage. Always carry your prescription medication in original packaging with your doctor’s prescription. Check with the government of DRC to ensure the medication is legal in DRC. Vaccinations: Be up-to-date on all vaccinations recommended by U.S. Centers for Disease Control and Prevention. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention Air Quality: Visit AirNow Department of State for information on air quality at U.S. Embassies and Consulates. Air pollution is a significant problem in several major cities in DRC. Consider the impact seasonal smog and heavy particulate pollution may have on you, and consult your doctor before traveling if necessary. The air quality varies considerably and fluctuates with the seasons. It is typically at its worst in the dry season from May to October. People at the greatest risk from particle pollution exposure include: Infants, children, and teens People over 65 years of age People with lung disease such as asthma and chronic obstructive pulmonary disease (COPD), which includes chronic bronchitis and emphysema People with heart disease or diabetes People who work or are active outdoors The U.S. Embassy maintains a list of doctors and hospitals . We do not endorse or recommend any specific medical provider or clinic. Health facilities in general: Public medical clinics lack basic resources and supplies. Hospitals and doctors require payment “up front” prior to service or admission. Credit card payment is not always available. Hospitals and medical professionals may require cash payment. Medical staff may speak little or no English. Generally, in public hospitals only minimal staff is available overnight and food services and supplies are the responsibility of the patient. Consider hiring a private nurse or having family spend the night with the patient, especially a minor child. Patients bear all costs for transfer to or between hospitals. Psychological and psychiatric services are limited, even in the larger cities. Pharmaceuticals: Exercise caution when purchasing medication overseas. Pharmaceuticals, both over the counter and requiring prescription in the United States, are often readily available for purchase with little controls. Counterfeit medication is common and may prove to be ineffective, the wrong strength, or contain dangerous ingredients. Medication should be purchased in consultation with a medical professional and from reputable establishments. U.S. Customs and Border Protection and the Food and Drug Administration are responsible for rules governing the transport of medication back to the United States. Medication purchased abroad must meet their requirements to be legally brought back into the United States. Medication should be for personal use and must be approved for usage in the United States. Please visit the U.S. Customs and Border Protection and the Food and Drug Administration websites for more information. Travelers should carry medical prescriptions for medicine they take to the DRC. DRC does not allow the importation of Dipyrone (Metamizole, Noramidopyrine) and Apha Beta-Arteether. Travelers should avoid carrying these medications. Assisted Reproductive Technology and Surrogacy: If you are considering traveling to the DRC to have a child through use of assisted reproductive technology (ART) or surrogacy, please see our ART and Surrogacy Abroad page . There is no legal framework for foreigners or same-sex couples to pursue surrogacy in DRC. As a result, surrogacy agreements between foreign or same-sex intending parents and gestational mothers are not enforced by DRC courts. If you decide to pursue parenthood in DRC via assisted reproductive technology (ART) with a gestational mother, be prepared for long and unexpected delays in documenting your child’s citizenship. Water Quality: In many areas, tap water is not potable. Bottled water and beverages are generally safe, although you should be aware that many restaurants and hotels serve tap water unless bottled water is specifically requested. Be aware that ice for drinks may be made using tap water. Adventure Travel: Visit the U.S. Centers for Disease Control and Prevention website for more information about Adventure Travel . The following diseases ae prevalent: African trypanosomiasis Chickenpox Chikungunya Cholera COVID-19 Dengue Diarrheal diseases Ebola Hepatitis A Measles Meningococcal meningitis Monkeypox Mumps Pertussis Polio Rabies Rubella Schistosomiasis Tetanus Tuberculosis Typhoid Yellow fever Use the U.S. Centers for Disease Control and Prevention recommended mosquito repellents and sleep under insecticide-impregnated mosquito nets. Chemoprophylaxis is recommended for all travelers even for short stays. HIV/AIDS: In 2018, HIV was noted as the 10 th leading cause of death in the DRC. The disease is still prevalent and standard precautions should be taken, including safe sex practices. There are shortages of medicine and medical supplies throughout the rural areas of DRC and some areas suffer clean water shortages. Visit the U.S. Centers for Disease Control and Prevention website for more information about Resources for Travelers regarding specific issues in DRC."
54,"Excellent medical facilities are widely available in Denmark. Hospitals are modern and fully equipped. Medical facilities in Greenland and the Faroe Islands are limited, and evacuation is required for serious illness or injury. For emergency services in the Kingdom of Denmark, dial 112. Emergency medical treatment may be free of charge; however, the patient is charged for follow-up care. In Denmark, you must call in advance to be admitted to an emergency room for immediate treatment for nonlife-threatening emergencies. If you show up at an emergency room unannounced you may be turned away. Dial 1813 to speak to the national medical helpline, staffed by physicians and nurses, who will determine which emergency room or clinic you should go to for care and coordinate an appointment for you. Ambulance services are widely available throughout Denmark but are limited in Greenland and the Faroe Islands. We do not pay medical bills. Be aware that U.S. Medicare does not apply overseas. Medical Insurance: Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage. Visit the U.S. Centers for Disease Control and Prevention for more information on type of insurance you should consider before you travel overseas. We strongly recommend supplemental insurance to cover medical evacuation. If traveling with prescription medication , check with the government of Denmark to ensure the medication is legal in the Kingdom of Denmark. Always carry your prescription medication in original packaging, along with your doctor’s prescription. Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC)"
55,"Please visit the Embassy's COVID-19 page for more information on COVID-19 in Djibouti. Consult the CDC website for Djibouti prior to travel. Medical facilities in the capital of Djibouti are limited, and facilities are nonexistent in many outlying areas. Trauma care is only intended to stabilize a patient prior to medical evacuation. Medicines are expensive and often in short supply. Most care providers expect payment in U.S. dollars or Djiboutian francs before treatment is provided. For emergency services in Djibouti, dial 18. Ambulance services are available from Balbala Hospital in Djibouti City. To obtain ambulance services contact Moussa, cell phone #77824912. Ambulance services are not widely available, and training and availability of emergency responders may be below U.S. standards. Injured or seriously ill travelers may prefer to take a taxi or private vehicle to the nearest major hospital rather than wait for an ambulance. We do not pay medical bills. Be aware that U.S. Medicare/Medicaid does not apply overseas. Most hospitals and doctors overseas do not accept U.S. health insurance. Medical Insurance: Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage. Visit the U.S. Centers for Disease Control and Prevention for more information on type of insurance you should consider before you travel overseas. We strongly recommend supplemental insurance to cover medical evacuation. Always carry your prescription medication in original packaging, along with your doctor’s prescription. Check with the Ministry of Health to ensure the medication is legal in Djibouti. Dual U.S.-Djiboutian citizens with disabilities may qualify for education and health services through the Ministry of National Solidarity and the Ministry for the Promotion of Women and Family Planning. The following diseases are prevalent: African Tick Bite Fever Chikungunya Dengue Hantavirus Hepatitis A Hepatitis B Leishmaniasis Leptospirosis Malaria Measles Rabies Schistosomiasis Tuberculosis (TB) Typhoid Use the U.S. Centers for Disease Control and Prevention recommended mosquito repellents and sleep under insecticide-impregnated mosquito nets. Chemoprophylaxis is recommended for all travelers even for short stays. Given Djibouti’s proximity to the Arabian Peninsula, the Middle East Respiratory Syndrome (MERS) is also a risk. Vaccinations: Be up to date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC) Air Quality: Visit AirNow Department of State for information on air quality at U.S. Embassies and Consulates. The U.S. Embassy maintains a list of doctors and hospitals . We do not endorse or recommend any specific medical provider or clinic."
56,"Medical facilities in Dominica do not meet U.S. standards. Dominica has an operational hyperbaric chamber. There is limited ambulance service on most of the island. Sea rescue service is available at the North end of the island. Doctors and hospitals often expect immediate cash payment for health services. The U.S. government does not pay medical bills for overseas travelers. Be aware that U.S. Medicare and Medicaid programs do not apply overseas. Medical Insurance: Make sure your health insurance plan provides coverage overseas. We strongly recommend supplemental insurance to cover medical evacuation. If traveling with prescription medication, check with the government of Dominica to ensure the medication is legal in Dominica. Always carry your prescription medication in original packaging with your doctor’s prescription. Dominica has reported past or current transmission of the following diseases: Chikungunya Dengue Zika Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Further health information : World Health Organization U.S. Centers for Disease Control and Prevention (CDC)"
57,"For emergency services in the Dominican Republic, dial 911 or 809-202-2026 . Ambulance services: The training and availability of emergency responders may be below U.S. standards. Ambulances are not present or reliable in most areas of the country. They are more reliable and available in Santo Domingo, Santiago, Punta Cana, and Puerto Plata. We do not pay medical bills. Be aware that U.S. Medicare/Medicaid does not apply overseas.  Most hospitals and doctors overseas do not accept U.S. health insurance. Medical Insurance: Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage. Visit the U.S. Centers for Disease Control and Prevention for more information on type of insurance you should consider before you travel overseas. We strongly recommend supplemental insurance to cover medical evacuation. Always carry your prescription medication in original packaging, along with your doctor’s prescription. Check with the Ministry for Public Health to ensure the medication is legal in the Dominican Republic. Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC) Air Quality: Visit AirNow Department of State for information on air quality at U.S. Embassies and Consulates. The U.S. Embassy maintains a list of doctors and hospitals . We do not endorse or recommend any specific medical provider or clinic. Health facilities in general: Public medical clinics lack basic resources and supplies. Hospitals and doctors require payment “up front” prior to service or admission. Private hospitals usually require advance payment or proof of adequate insurance before admitting a patient. Be aware that some hotels, resorts, etc. have exclusive agreements with medical providers, which have costs associated and may limit your choices in seeking emergency medical attention. Medical staff may speak little or no English. Generally, in public hospitals only minimal staff is available overnight in non-emergency wards. Consider hiring a private nurse or having family spend the night with the patient, especially a minor child. Patients bear all costs for transfer to or between hospitals. Psychological and psychiatric services are limited, even in the larger cities, with hospital-based care only available through government institutions Medical Tourism and Elective Surgery U.S. citizens have suffered serious complications or died during or after having cosmetic or other elective surgery. If you are considering travel to the Dominican Republic for cosmetic surgery, be mindful of the following: Have a medical evaluation from a U.S. doctor to determine if you are a good candidate for surgery. Before travel, carefully research the doctor (e.g. qualifications, experience performing the surgery, complication rate) and credentials of the recovery facility you plan to use. Share all health information (e.g. medical conditions, medications, allergies) with your doctor before your surgery. Obtain international travel insurance that covers medical evacuation back to the United States and repatriation of remains. For more information, see: https://wwwnc.cdc.gov/travel/page/insurance . See a travel medicine professional in the United States at least 4–6 weeks before your trip to discuss healthy travel and to learn about specific risks related to your surgery and travel. For more information on the risks of medical tourism, see: https://wwwnc.cdc.gov/travel/page/medical-tourism . Your legal options in case of malpractice are very limited in the Dominican Republic. Tap Water: Tap water is unsafe to drink. Bottled water and beverages are considered safe. Please note that many restaurants use tap water for ice. Adventure Travel Visit the U.S. Centers for Disease Control and Prevention website for more information about Adventure Travel . General Health The following diseases are prevalent: Tuberculosis Dengue Chikungunya Malaria Visit the U.S. Centers for Disease Control and Prevention website for more information about Resources for Travelers regarding specific issues in the Dominican Republic ."
58,"COVID-19 Testing: A list of laboratories licensed to perform RT-PCR and rapid antigen tests is available on the website maintained by Ecuador’s Medical Services and Prepaid Medicine Quality Assurance Agency (ACESS).  The Ministry of Public Health fixed the price of RT-PCR tests at $45.  Rapid antigen tests can also be purchased at local pharmacies.  More information is available at this link . Laboratories generally promise results within 24 hours. Many laboratories will email results the same day. COVID-19 Vaccines: The COVID-19 vaccine is available for U.S. citizens to receive in Ecuador. U.S. citizen residents in Ecuador can contact their local public health center to obtain vaccine information and schedule an appointment. The Ministry of Public Health has lists of the public health centers that offer the COVID-19 vaccine on its website . Alternatively, U.S. citizen residents and non-residents interested in the COVID-19 vaccine can contact the Ministry of Public Health directly by dialing 171. Visit the FDA’s website to learn more about FDA-approved vaccines in the United States. For emergency services in Ecuador, dial 911. Ambulance services are: not present throughout the country and unreliable in most areas except Quito. not equipped with state-of-the-art medical equipment. Injured or seriously ill travelers may prefer to take a taxi or private vehicle to the nearest major hospital rather than wait for an ambulance, particularly outside of Quito. Adequate medical and dental care is available in major cities. In smaller communities and in the Galapagos Islands, services are limited, and the quality is generally well below U.S. standards. Ambulance service is limited. Specialized medical care can cost tens of thousands of dollars or is not available. Pharmacies are widely available. However, some medications might not be offered, and brand names will differ from products in the United States. Not all pharmacies purchase medications from pharmaceutical companies that adhere to quality control standards. Exercise caution if you explore herbal and folk remedies. Quito is 9,400 feet above sea level. Some other tourist destinations in the mountainous region may be higher. Consult your doctor for recommendations concerning medication and lifestyle tips at high altitude. We do not pay medical bills. Be aware that U.S. Medicare/Medicaid does not apply overseas. Most hospitals and doctors overseas do not accept U.S. health insurance. Medical Insurance : Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage. Visit the U.S. Centers for Disease Control and Prevention for more information on type of insurance you should consider before you travel overseas. We strongly recommend supplemental insurance to cover medical evacuation. Always carry your prescription medication in original packaging, along with your doctor’s prescription. Check with the government of Ecuador’s National Customs Service to ensure the medication is legal in Ecuador. The following diseases are present: Chagas disease Chikungunya Dengue Malaria Tuberculosis Yellow fever Zika Vaccinations : Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Further health information : World Health Organization U.S. Centers for Disease Control and Prevention (CDC) Air Quality : Visit AirNow Department of State for information on air quality at U.S. Embassies and Consulates. The U.S. Mission in Ecuador maintains a list of doctors and hospitals on its webpage . We do not endorse or recommend any specific medical provider or clinic. Health facilities in general : Adequate health facilities are available in Quito and Guayaquil but health care in rural areas may be below U.S. standards. Public medical clinics lack basic resources and supplies. Hospitals and doctors often require payment “up front” prior to service or admission. Private hospitals usually require advance payment or proof of adequate insurance before admitting a patient. Medical staff may speak little or no English. Pharmaceuticals: Exercise caution when purchasing medication overseas. Pharmaceuticals, both over the counter and requiring prescription in the United States, are often readily available for purchase with little controls. Counterfeit medication is common and may prove to be ineffective, the wrong strength, or contain dangerous ingredients. Medication should be purchased in consultation with a medical professional and from reputable establishments. U.S. Customs and Border Protection and the Food and Drug Administration are responsible for rules governing the transport of medication back to the United States. Medication purchased abroad must meet their requirements to be legally brought back into the United States. Medication should be for personal use and must be approved for usage in the United States. Visit the U.S. Customs and Border Protection and the Food and Drug Administration websites for more information. Assisted Reproductive Technology and Surrogacy: If you are considering traveling to Ecuador to have a child through use of assisted reproductive technology (ART) or surrogacy, see our ART and Surrogacy Abroad page . Surrogacy is legal for foreigners in Ecuador. Water Quality: In many areas, tap water is not potable. Bottled water and beverages are generally safe, although you should be aware that many restaurants and hotels serve tap water unless bottled water is specifically requested. Be aware that ice for drinks may be made using tap water. Altitude: Many cities in Ecuador, such as Quito, are at high altitude. Be aware of the symptoms of altitude sickness, and take precautions before you travel. Visit the U.S. Centers for Disease Control and Prevention website for more information about Travel to High Altitudes . Adventure Travel: Visit the U.S. Centers for Disease Control and Prevention website for more information about Adventure Travel ."
59,"For emergency services in Egypt, dial 123 . Ambulance services are not widely available and training and availability of emergency responders may be below U.S. standards. Insurance: Travelers should make sure their health insurance plan covers them when outside of the United States. The U.S Embassy cannot pay medical bills. U.S. Medicare does not pay overseas. Doctors and hospitals often expect cash payment for health services. The U.S. Embassy strongly recommends supplemental insurance to cover medical evacuation, since medical transport out of the country can be prohibitively expensive or logistically impossible. See the webpage for more information on insurance providers for overseas coverage . Medical Care: Emergency and intensive care facilities are limited. Most Nile cruise boats do not have a ship's doctor, but some employ a medical practitioner. Hospital facilities in Luxor, Aswan, and Sharm el Sheikh are adequate, but they are inadequate at most other ports-of-call. The Egyptian ambulance service hotline is 123. Although availability of ambulances is improving, getting them through Cairo traffic can be very challenging. Beaches on the Mediterranean and Red Sea coasts are generally unpolluted. However, persons who swim in the Nile or its canals, walk barefoot in stagnant water, or drink untreated water are at risk of exposure to bacterial and other infections and the parasitic disease schistosomiasis (bilharzia). It is generally safe to eat freshly prepared cooked food in hotels, on Nile cruise boats, and in mainstream restaurants. When selecting a restaurant, travelers should select a clean and reputable place, eat only freshly prepared, cooked foods, avoid all uncooked food including raw fruits and vegetables. Tap water in some locations is not potable. It is best to drink bottled water or water that has been boiled and filtered. Well-known brands of bottled beverages are generally considered to be safe if the seal is intact. Although the Embassy cannot provide medical advice or provide medical services to the public, a list of hospitals and doctors in Egypt can be found on the Embassy website. Prescriptions: Travelers should carry prescription medication in original packaging, along with your doctor’s prescription. Vaccinations: Travelers should be up-to-date on all recommended vaccinations , per CDC’s information. Further Health Information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC)"
60,"For emergency services in El Salvador, dial 911. Private and public hospitals do not meet U.S. standards. The U.S. Embassy recommends that private hospitals be used only for emergency care to stabilize a condition prior to returning to the United States for definitive evaluation and treatment. Private hospitals and physicians expect up-front payment (cash or credit card). They do not bill U.S. insurance companies. Ambulance services are: not widely available and training and availability of emergency responders may be below U.S. standards not equipped with state-of-the-art medical equipment The Department of State does not pay medical bills. U.S. Medicare does not apply overseas. Most hospitals and doctors overseas do not accept U.S. health insurance. Medical Insurance: Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage . Visit the U.S. Centers for Disease Control and Prevention for more information on type of insurance you should consider before you travel overseas. We strongly recommend supplemental insurance to cover medical evacuation. If traveling with prescription medication, check with the Government of El Salvador to ensure the medication is legal in El Salvador. Always carry your prescription medication in original packaging with your doctor’s prescription. The following diseases are prevalent: Chikungunya Dengue Zika Diarrheal illness Vaccinations: All routinely recommended immunizations for the U.S. should be up-to-date. Measles, mumps, rubella , tetanus, pertussis and chickenpox are much more common than in the U.S., especially among children. Hepatitis A and typhoid immunization is recommended for all travelers. Hepatitis B vaccine is recommended for all those who may have sexual contact, tattoos or require medical treatment while in El Salvador. Yellow Fever : Travelers coming from countries where yellow fever is endemic must have had a yellow fever vaccination in order to enter the country. For more information, visit El Salvador’s Immigration website . Tuberculosis is an increasingly serious health concern in El Salvador. For further information, please consult the CDC’s information on Tuberculosis . You can find detailed information on vaccinations and other health precautions on the following websites: Centers for Disease Control (CDC) World Health Organization (WHO)"
61,"Please visit the Embassy’s COVID-19 page for more information on COVID-19 in Equatorial Guinea. Medical facilities are limited in terms of space and capability. Pharmacies in Malabo and Bata stock basic medicines including antibiotics but do not carry U.S. brand names or generic over the counter (OTC) medications. Outside of these cities, many medicines are unavailable. You should carry a supply of properly-labeled prescription drugs and other OTC medications adequate to cover your entire stay. Sanitation levels in hospitals are very low, except for the La Paz Malabo Medical Center, a Western level and acute care hospital which meets many of the medical standards of a modern hospital in a developed country. Doctors and hospitals often require immediate payment for health services in cash only (CFA). Patients are sometimes expected to supply their own bandages, linen, and toiletries. For emergency services in Equatorial Guinea, dial 113. Ambulance services are not present throughout the country. We do not pay medical bills. Be aware that U.S. Medicare/Medicaid does not apply overseas. Most hospitals and doctors overseas do not accept U.S. health insurance. Medical Insurance: Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage. Visit the U.S. Centers for Disease Control and Prevention for more information on type of insurance you should consider before you travel overseas. We strongly recommend supplemental insurance to cover medical evacuation. Always carry your prescription medication in original packaging, along with your doctor’s prescription. Check with the government of Equatorial Guinea to ensure the medication is legal in Equatorial Guinea. Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC) Air quality: Visit AirNow Department of State for information on air quality at U.S. Embassies and Consulates. The U.S. Embassy maintains a list of doctors and hospitals . We do not endorse or recommend any specific medical provider or clinic. Water Quality In many areas, tap water is not potable. Bottled water and beverages are generally safe, although you should be aware that many restaurants and hotels serve tap water unless bottled water is specifically requested. Be aware that ice for drinks may be made using tap water. The following diseases are prevalent: Dengue Fever Diarrheal illness Polio Rabies Schistosomiasis Tuberculosis Yellow fever Malaria Use the U.S. Centers for Disease Control and Prevention recommended mosquito repellents and sleep under insecticide-impregnated mosquito nets. Chemoprophylaxis is recommended for all travelers even for short stays. There are many counterfeit antimalarials throughout Equatorial Guinea and you should not plan on purchasing them after arrival."
